Part Number,	Item Name, 	Quantity, 	Location Room, 		Location Row,	Location Column, Location Shelf ,Barcode, 	Item Description,Stock Date,Unit Price,VAT Amount,Sale Price (Inc VAT),Total value (inc VAT),Supplier Id
hpt0851054,fusible link thermal,1,,,,,hpt0851054,,22 December 2011,7.46,1.49,8.95,8.95,6
aw23,dispenser hose,1,,,,,aw23,,11 January 2012,2.86,0.57,3.43,3.43,23
hse3667,pressure switch hose 100,1,,,,,hse3667,,18 January 2012,2.84,0.57,3.41,3.41,6
hvr09200626,carbon brush + holder hvr,1,,,,,hvr09200626,,13 January 2011,15.22,3.04,18.26,18.26,6
quatoc39,hotpoint toc kit blue,1,,,,,quatoc39,,27 February 2012,5.75,1.15,6.9,6.9,18
15927,toilet cistern lever,1,,,,,15927,,6 March 2012,3.75,0.75,4.5,4.5,24
blk0110,wellco bulk junction box,1,,,,,blk0110,,14 March 2012,4.56,0.91,5.47,5.47,6
hpt1703200,thermostat toc kit,1,,,,,hpt1703200,,4 April 2012,7.35,1.47,8.82,8.82,6
,pipe 1.1/4,1,,,,,pipe 1.1/4,,5 April 2012,5.01,1.00,6.01,6.01,25
,suction grip,2,,,,,suction grip,,5 April 2012,4.60,0.92,5.52,11.04,26
quatoc42,thermostat kit-hotpoint,1,,,,,quatoc42,,4 May 2012,3.10,0.62,3.72,3.72,18
no88zks315a,fuse 3.15amp 20mm,14,,,,,no88zks315a,,23 May 2012,0.11,0.02,0.13,1.82,6
no88zks5a,fuse 5amp 20mm,6,,,,,no88zks5a,,23 May 2012,0.11,0.02,0.13,0.78,6
no88zks1a,fuse 1amp 20mm,7,,,,,no88zks1a,,23 May 2012,0.11,0.02,0.13,0.91,6
hpt1703200,thermostat toc kit-whit,1,,,,,hpt1703200,,23 May 2012,7.35,1.47,8.82,8.82,6
